SLNo,Carpet_area,Status,Floor,Transaction_type,Year_Built,Price_per_square_feet
1499,,Ready to Move,22,Resale,,12011
1500,,Ready to Move,5,New Property,,4340
1501,,Ready to Move,4,Resale,,13455
1502,1039,Under Construction,5,Resale,2010,5565
1503,850,Ready to Move,4,Resale,,7167
1504,2012,Ready to Move,23,Resale,,13322
1505,1204,Under Construction,17,New Property,2017,10465
1506,,Ready to Move,4,Resale,,4950
1507,1080,Ready to Move,4,New Property,2007,4957
1508,2387,Ready to Move,16,Resale,2003,15522
1509,1312,Under Construction,21,New Property,2019,6171
1510,558,Ready to Move,7,Resale,,7370
1511,980,Ready to Move,4,New Property,2020,6500
1512,1000,Under Construction,3,New Property,1994,18105
1513,,Ready to Move,13,Resale,2015,12236
1514,1105,Ready to Move,16,Resale,2014,16435
1515,1950,Ready to Move,24,Resale,2016,13996
1516,,Under Construction,17,Resale,2017,12933
1517,894,Under Construction,4,New Property,2006,5300
1518,814,Under Construction,17,New Property,2015,9100
1519,,Ready to Move,1,New Property,2017,7143
1520,,Ready to Move,13,Resale,2022,7311
1521,,Ready to Move,9,Resale,2010,6581
1522,1580,Ready to Move,4,New Property,2012,11989
1523,,Ready to Move,4,New Property,,7500
1524,413,Under Construction,4,New Property,,6504
1525,870,Under Construction,4,New Property,2012,4265
1526,1250,Ready to Move,4,Resale,2011,11168
1527,,Jun '27,,New Property,,5009
1528,790,Under Construction,5,New Property,2019,5500
1529,1027,Ready to Move,18,Resale,1994,7984
1530,1100,Ready to Move,3,Resale,,10143
1531,651,Ready to Move,4,New Property,2000,7704
1532,1246,Under Construction,8,New Property,2020,7726
1533,1100,Ready to Move,13,Resale,2014,7175
1534,,Ready to Move,26,New Property,2010,13491
1535,900,Ready to Move,14,Resale,1973,8333
1536,1224,Under Construction,6,New Property,,8426
1537,1300,Ready to Move,,Resale,,5345
1538,1190,Ready to Move,25,Resale,2018,12876
1539,2500,Ready to Move,4,Resale,2015,14389
1540,835,Under Construction,17,New Property,2017,10000
1541,1185,Ready to Move,15,Resale,,10469
1542,1864,Under Construction,31,New Property,2018,11796
1543,1500,Ready to Move,4,Resale,2010,8947
1544,2200,Ready to Move,4,Resale,2010,9600
1545,800,Ready to Move,5,New Property,,4261
1546,770,Under Construction,16,New Property,2021,10658
1547,,Ready to Move,15,Resale,2012,12291
1548,,Ready to Move,14,Resale,,12322
1549,,Ready to Move,5,Resale,2016,3636
1550,1700,Ready to Move,4,Resale,2012,5896
1551,720,Ready to Move,4,New Property,2011,3675
1552,789,Ready to Move,25,Resale,,10932
1553,,Ready to Move,20,Resale,2010,9861
1555,999,Ready to Move,21,New Property,2008,
1556,,Ready to Move,7,Resale,2004,4583
1557,,Ready to Move,19,Resale,,15668
1558,,Ready to Move,3,Resale,2012,11555
1559,,Ready to Move,22,Resale,2008,12243
1560,750,Ready to Move,21,Resale,2011,8509
1561,1700,Under Construction,36,Resale,2008,13699
1562,2202,Ready to Move,29,Resale,,13803
1563,,Under Construction,20,New Property,2011,5719
1564,1400,Ready to Move,9,Resale,2010,12245
1565,900,Ready to Move,6,Resale,,12037
1566,,Ready to Move,18,Resale,2016,15461
1567,723,Under Construction,16,New Property,2015,7049
1568,1248,Ready to Move,3,Resale,,6730
1569,,Ready to Move,16,Resale,,7534
1570,,Ready to Move,20,Resale,,8517
1571,,Under Construction,29,New Property,2019,12500
1572,4105,Ready to Move,24,New Property,1977,19670
1573,1825,Ready to Move,5,Resale,1995,
1574,1200,Ready to Move,19,Resale,,17007
1575,1255,Ready to Move,30,Resale,2007,12689
1576,,Ready to Move,20,Resale,2003,10714
1577,1700,Ready to Move,14,Resale,2007,11615
1578,851,Ready to Move,1,Resale,2014,11770
1579,1600,Ready to Move,15,Resale,,15238
1580,1340,Ready to Move,12,New Property,2009,10200
1581,1031,Ready to Move,18,Resale,2013,10218
1582,,Ready to Move,5,New Property,,7074
1583,1360,Under Construction,18,New Property,,8466
1584,,Ready to Move,27,Resale,2009,11277
1585,800,Ready to Move,27,Resale,,13544
1586,,Ready to Move,10,Resale,2017,6912
1587,1400,Under Construction,5,Resale,,5132
1588,910,Ready to Move,4,Resale,,5451
1589,1556,Ready to Move,8,New Property,,8100
1590,1000,Ready to Move,15,Resale,,11218
1591,1520,Ready to Move,5,New Property,2012,6053
1592,2990,Ready to Move,22,New Property,,15500
1593,1600,Under Construction,4,New Property,2001,13081
1594,2910,Ready to Move,40,Resale,2010,12629
1595,1861,Ready to Move,27,Resale,,15769
1596,844,Ready To Move,,New Property,,6794
1597,679,Under Construction,16,New Property,,7411
1598,1250,Under Construction,13,New Property,2015,10500
1599,1190,Ready to Move,3,Resale,,10924
1600,,Under Construction,18,Resale,2015,16779
1601,1130,Ready to Move,4,Resale,,6733
1602,,Under Construction,25,New Property,2017,10398
1604,,Under Construction,34,Resale,,16119
1605,850,Ready to Move,4,New Property,1991,10870
1606,,Ready to Move,17,Resale,2012,12941
1607,1234,Under Construction,4,Resale,,5024
1608,1045,Ready to Move,9,Resale,,5922
1609,1113,Ready to Move,9,Resale,,6928
1610,,Under Construction,30,Resale,2011,11820
1611,1140,Under Construction,26,New Property,,8300
1612,,Ready to Move,15,Resale,2012,12000
1613,1606,Ready to Move,16,Resale,2001,21705
1614,975,Ready to Move,45,New Property,1985,26311
1615,850,Ready to Move,22,Resale,2023,20339
1616,1740,Mar '28,,New Property,1979,60000
1617,750,Ready to Move,14,Resale,1991,8529
1618,757,Under Construction,23,New Property,2016,9091
1619,630,Ready to Move,7,Resale,1987,27500
1620,1213,Ready to Move,39,New Property,2013,26460
1621,890,Ready to Move,14,Resale,2018,18807
1622,580,Under Construction,21,New Property,,11260
1623,984,Ready to Move,16,New Property,1999,20064
1624,2300,Under Construction,34,New Property,1999,51647
1625,535,Ready to Move,19,New Property,2015,20000
1626,1140,Under Construction,13,New Property,2019,
1627,1235,Under Construction,40,New Property,1978,20783
1628,710,Ready to Move,7,Resale,,9524
1629,419,Under Construction,33,New Property,2009,9570
1630,967,Under Construction,67,New Property,1999,40909
1631,913,Ready to Move,36,Resale,2021,29091
1632,854,Under Construction,21,Resale,2018,21307
1633,400,Ready to Move,8,Resale,2016,18448
1634,757,Under Construction,54,New Property,1995,25726
1635,750,Ready to Move,14,Resale,2000,23500
1636,2100,Ready to Move,68,Resale,2013,40317
1637,970,Under Construction,23,New Property,2008,19355
1638,1026,Under Construction,35,New Property,,23000
1639,428,Under Construction,38,Resale,2015,16857
1640,2300,Ready to Move,8,Resale,1992,39130
1641,640,Ready to Move,50,Resale,2011,32754
1642,987,Under Construction,,New Property,1985,17706
1643,1129,Ready to Move,11,Resale,2001,54348
1644,1221,Ready to Move,19,New Property,1989,24740
1645,1884,Ready to Move,40,Resale,2012,36667
1646,762,Ready to Move,65,Resale,2006,52493
1647,1072,Ready to Move,,Resale,2006,26364
1648,1415,Ready to Move,67,Resale,2019,47852
1649,908,Ready to Move,35,Resale,2014,24834
1650,1132,Ready to Move,61,New Property,2003,26667
1652,723,Ready to Move,50,Resale,1986,16529
1653,,Jun '27,,New Property,2008,29882
1654,435,Ready to Move,16,Resale,2004,22833
1655,632,Ready to Move,14,Resale,2011,34019
1656,1181,Ready to Move,23,New Property,1994,21667
1658,2480,Ready to Move,16,New Property,1987,43923
1659,788,Ready to Move,26,Resale,2000,27886
1660,895,Ready to Move,13,Resale,2008,17510
1661,1250,Ready to Move,15,Resale,,19077
1662,350,Ready to Move,14,Resale,,5000
1663,1200,Ready to Move,7,Resale,,20000
1664,370,Ready to Move,7,Resale,,10492
1665,3500,Ready to Move,23,New Property,,39024
1666,,Ready to Move,8,Resale,,29167
1667,375,Ready to Move,4,Resale,,8571
1668,692,Ready to Move,50,Resale,,23294
1669,626,Ready to Move,7,Resale,,22561
1670,875,Ready to Move,8,Resale,,
1671,750,Ready to Move,8,Resale,,22941
1672,450,Ready to Move,7,Resale,,20000
1673,720,Ready to Move,8,Resale,,16471
1674,1200,Ready to Move,14,Resale,,24194
1675,693,Ready to Move,18,New Property,,9409
1676,,Ready to Move,8,Resale,,14118
1677,,Ready to Move,64,Resale,,31348
1678,,Ready to Move,4,Resale,,19167
1679,,Under Construction,24,Resale,,35326
1680,250,Ready to Move,,Resale,,9143
1681,,Ready to Move,4,Resale,,20000
1682,700,Ready to Move,16,Resale,,19333
1683,1575,Ready to Move,7,Resale,,61765
1684,,Ready to Move,7,Resale,,12717
1685,,Ready to Move,23,Resale,,5887
1686,708,Ready to Move,23,Resale,,12241
1687,2000,Ready to Move,6,Resale,,41667
1688,800,Ready to Move,18,Resale,,18889
1689,340,Ready to Move,22,Resale,,26203
1690,,Ready to Move,23,Resale,,20000
1691,650,Ready to Move,22,Resale,,19617
1692,670,Ready to Move,20,Resale,,17347
1693,,Ready to Move,7,Resale,,17727
1694,380,Ready to Move,4,Resale,,2755
1695,1100,Ready to Move,21,Resale,,28881
1696,500,Ready to Move,18,Resale,,
1697,680,Ready to Move,2,Resale,,
1698,700,Ready to Move,20,Resale,,
1699,690,Ready to Move,6,Resale,,
1700,1600,Ready to Move,15,Resale,,18539
1701,1098,Ready to Move,24,New Property,,36154
1702,410,Ready to Move,6,Resale,,
1703,529,Ready to Move,15,Resale,,
1704,800,Ready to Move,7,Resale,,17826
1705,906,Ready to Move,8,Resale,,32967
1706,1060,Ready to Move,15,Resale,,25074
1707,,Ready to Move,62,Resale,,50000
1708,,Ready to Move,21,Resale,,17000
1709,650,Ready to Move,4,New Property,,28750
1710,400,Ready to Move,7,New Property,,17273
1711,570,Ready to Move,7,Resale,,22615
1712,350,Ready to Move,22,Resale,,24213
1713,400,Ready to Move,13,Resale,,8857
1714,650,Ready to Move,13,Resale,,9375
1715,850,Ready to Move,4,Resale,,6311
1716,300,Ready to Move,20,Resale,,12121
1717,450,Ready to Move,4,Resale,,7091
1718,33,Ready to Move,4,Resale,,
1719,480,Ready to Move,6,Resale,,14167
1720,668,Ready to Move,20,Resale,,
1721,745,Ready to Move,16,Resale,,18091
1722,821,Ready to Move,21,Resale,,33636
1723,972,Ready to Move,42,Resale,,33333
1724,560,Ready to Move,3,Resale,,7353
1725,575,Ready to Move,19,Resale,,24160
1726,469,Ready to Move,7,Resale,,17407
1727,1600,Ready to Move,22,Resale,,31674
1728,1050,Ready to Move,60,Resale,,
1729,500,Ready to Move,21,Resale,,30714
1730,900,Ready to Move,7,Resale,,23810
1731,1415,Ready to Move,60,Resale,,
1732,750,Ready to Move,7,Resale,,42500
1733,,Ready to Move,31,Resale,,52830
1734,,Ready to Move,27,Resale,,24446
1735,,Under Construction,43,Resale,,20845
1736,870,Ready to Move,12,Resale,,18552
1737,1020,Ready to Move,17,Resale,,33824
1738,625,Ready to Move,15,Resale,,
1739,650,Ready to Move,11,Resale,,36923
1740,,Ready to Move,7,Resale,,26393
1741,1500,Ready to Move,12,Resale,,8409
1742,,Ready to Move,4,Resale,,20139
1743,400,Ready to Move,7,Resale,,
1744,300,Ready to Move,6,Resale,,31250
1745,850,,,Resale,,29524
1746,850,Ready to Move,18,Resale,,19450
1747,900,Ready to Move,10,Resale,,24545
1748,760,Ready to Move,22,Resale,,24157
1749,1650,Ready to Move,13,Resale,,25000
1750,375,Ready to Move,13,Resale,,27875
1751,,Ready to Move,7,Resale,,30556
1752,,Ready to Move,14,Resale,,18667
1753,,Ready to Move,8,Resale,,19828
1754,550,Ready to Move,19,Resale,,
1755,734,Ready to Move,42,Resale,,16529
1756,280,Ready to Move,7,Resale,,24762
1757,332,Ready to Move,15,Resale,,19556
1758,396,Ready to Move,18,Resale,,10841
1759,,Ready to Move,7,Resale,,11504
1760,1337,Ready to Move,16,Resale,,
1761,1010,Ready to Move,14,Resale,,21502
1762,721,Ready to Move,19,Resale,,15217
1763,377,Ready to Move,5,Resale,,21912
1764,648,Ready to Move,21,Resale,,26000
1765,650,Ready to Move,8,Resale,,26667
1766,1150,Ready to Move,22,Resale,,21875
1767,1810,Ready to Move,13,Resale,,53846
1768,430,Ready to Move,7,Resale,,36000
1769,516,Ready to Move,8,Resale,,17460
1770,1100,Ready to Move,7,Resale,,6538
1771,625,Ready to Move,15,Resale,,15740
1772,470,Ready to Move,10,Resale,,
1773,622,Ready to Move,18,Resale,,26471
1774,656,Ready to Move,45,Resale,,22381
1775,600,Ready to Move,4,Resale,,7191
1776,425,Ready to Move,22,Resale,,19713
1777,,Ready to Move,14,Resale,,36111
1778,1330,Ready to Move,12,Resale,,9036
1779,,Ready to Move,20,Resale,,8921
1780,565,Ready to Move,21,Resale,,21264
1781,1200,Ready to Move,23,Resale,,
1782,970,Ready to Move,7,Resale,,21667
1783,435,Ready to Move,8,Resale,,19444
1784,1130,Ready to Move,4,Resale,,23077
1785,458,Ready to Move,16,Resale,,11053
1786,1579,Ready to Move,16,Resale,,17045
1787,1365,Ready to Move,7,Resale,,18750
1788,1700,Under Construction,12,Resale,,36000
1789,650,Ready to Move,22,Resale,,21667
1790,850,Ready to Move,50,New Property,,18148
1791,690,Ready to Move,5,Resale,,16000
1792,629,Ready to Move,22,Resale,,34118
1793,420,Ready to Move,10,Resale,,26364
1794,442,Ready to Move,,Resale,,15559
1795,,Ready to Move,10,Resale,,20085
1796,550,Ready to Move,5,Resale,,2000
1797,385,Ready to Move,7,Resale,,10083
1798,475,Ready to Move,20,Resale,,13077
1799,326,Ready to Move,5,Resale,,18983
1800,631,Ready to Move,37,New Property,,22772
1801,850,Ready to Move,15,Resale,,27918
1802,375,Ready to Move,12,Resale,,4567
1803,303,Ready to Move,36,Resale,,16369
1804,1169,Ready to Move,15,Resale,,22069
1805,741,Ready to Move,10,New Property,,41835
1806,787,Ready to Move,14,Resale,,25455
1807,720,Ready to Move,9,New Property,,4556
1808,1385,Ready to Move,21,Resale,,26846
1809,950,Ready to Move,23,Resale,,15517
1810,866,Ready to Move,18,Resale,,28000
1811,1290,Ready to Move,34,Resale,,32143
1812,700,Ready to Move,3,New Property,,22500
1813,640,Ready to Move,11,New Property,,28667
1814,500,Ready to Move,23,Resale,,16667
1815,,Ready to Move,7,Resale,,16667
1816,620,Ready to Move,7,Resale,,21000
1817,610,Ready to Move,15,Resale,,25714
1818,404,Ready to Move,9,Resale,,10462
1819,500,Ready to Move,7,Resale,,35385
1820,300,Ready to Move,22,Resale,,10909
1821,335,Ready to Move,6,Resale,,19000
1822,1600,Ready to Move,8,Resale,,
1823,550,Ready to Move,3,Resale,,21538
1824,400,Ready to Move,6,Resale,,30000
1825,740,Ready to Move,21,Resale,,40000
1826,1117,Ready to Move,15,Resale,,52778
1827,,Ready to Move,7,Resale,,4886
1828,415,Ready to Move,15,Resale,,16364
1829,440,Ready to Move,3,Resale,,21132
1830,738,Ready to Move,15,Resale,,18900
1831,420,Ready to Move,17,Resale,,20000
1832,600,Ready to Move,6,Resale,,
1833,750,Ready to Move,8,Resale,,22222
1834,928,Ready to Move,3,Resale,,
1835,,Ready to Move,5,Resale,,5469
1836,580,Ready to Move,14,Resale,,
1837,,Ready to Move,,Resale,,27778
1838,638,Ready to Move,32,Resale,,24933
1839,450,Ready to Move,5,Resale,,2462
1840,528,Ongoing,20,Resale,,30220
1841,730,Ready to Move,39,Resale,,13672
1842,539,Ready to Move,13,Resale,,
1843,,Ready to Move,12,Resale,,56818
1844,350,Ready to Move,7,Resale,,23529
1845,,Ready to Move,7,Resale,,17000
1846,1187,Ready to Move,23,Resale,,26275
1847,677,Ready to Move,23,Resale,,19500
1848,800,Ready to Move,22,Resale,,30983
1849,652,Ready to Move,9,Resale,,19534
1850,760,Ready to Move,6,Resale,,29057
1851,800,Ready to Move,3,Resale,,35000
1852,481,Ready to Move,10,Resale,,35625
1853,470,Ready to Move,23,Resale,,40000
1854,750,Ready to Move,16,New Property,,7476
1855,290,Ready to Move,4,Resale,,16230
1856,845,Ready to Move,40,Resale,,18519
1857,330,Ready to Move,40,New Property,,16577
1858,400,Ready to Move,7,Resale,,5079
1859,575,Ready to Move,8,Resale,,21600
1860,410,Under Construction,9,Resale,,34122
1861,650,Ready to Move,18,Resale,,14835
1862,440,Ready to Move,7,New Property,,45455
1863,1074,Ready to Move,37,New Property,,19333
1864,367,Ready to Move,30,Resale,,46250
1865,1722,Ready to Move,20,Resale,,53664
1866,,Ready to Move,23,Resale,,22165
1867,560,Ready to Move,7,Resale,,
1868,882,Ready to Move,20,Resale,,7619
1869,535,Ready to Move,18,Resale,,14375
1870,500,Under Construction,30,Resale,,26923
1871,750,Ready to Move,20,New Property,,17964
1872,445,Ready to Move,7,Resale,,18062
1873,825,Ready to Move,9,Resale,,21622
1874,775,Ready to Move,7,New Property,,33905
1875,,Ready to Move,23,Resale,,24000
1876,641,Ready to Move,9,New Property,,21765
1877,185,Ready to Move,7,Resale,,11765
1878,,Ready to Move,7,New Property,,5981
1879,550,Ready to Move,22,Resale,,41475
1880,1085,Ready to Move,22,Resale,,16452
1881,1084,Ready to Move,36,Resale,,32288
1882,800,Ready to Move,7,Resale,,19531
1883,610,Ready to Move,14,Resale,,30882
1884,300,Ready to Move,2,Resale,,50000
1885,512,Ready to Move,7,Resale,,22026
1886,485,Ready to Move,,Resale,,9322
1887,650,Ready to Move,23,Resale,,10421
1888,625,Ready to Move,22,New Property,,16146
1889,,Ready to Move,15,Resale,,19529
1890,610,Ready to Move,,Resale,,5591
1891,815,Ready to Move,7,Resale,,29545
1892,1260,Ready to Move,6,Resale,,21495
1893,1085,Ready to Move,12,Resale,,
1894,1350,Ready to Move,12,Resale,,50000
1895,225,Ready to Move,22,Resale,,
1896,425,Ready to Move,12,Resale,,26400
1897,420,Ready to Move,7,Resale,,
1898,650,Ready to Move,17,Resale,,15385
1899,278,Ready to Move,7,Resale,,11184
1900,781,Ready to Move,9,Resale,,24631
1901,750,Ready to Move,4,Resale,,42105
1902,425,Ready to Move,7,Resale,,10687
1903,924,Under Construction,12,Resale,,37083
1904,899,Ready to Move,52,Resale,,29231
1905,756,Ready to Move,15,Resale,,31474
1906,1550,Ready to Move,,Resale,,20000
1907,1325,Ready to Move,11,Resale,,28517
1908,700,Ready to Move,15,Resale,,16842
1909,405,Ready to Move,22,Resale,,22772
1910,1000,Ready to Move,50,Resale,,43965
1911,450,Ready to Move,9,Resale,,4375
1912,,Under Construction,22,Resale,,18500
1913,,Ready to Move,17,Resale,,23333
1914,960,Ready to Move,7,Resale,,35185
1915,1200,Ready to Move,22,Resale,,15630
1916,1000,Ready to Move,,Resale,,
1917,650,Ready to Move,2,Resale,,31429
1918,720,Ready to Move,19,Resale,,
1919,380,Ready to Move,7,Resale,,27316
1920,873,Ready to Move,3,Resale,,9722
1921,,Ready to Move,4,Resale,,22000
1922,510,Ready to Move,22,Resale,,18333
1923,750,Ready to Move,7,Resale,,24010
1924,1400,Ready to Move,62,Resale,,36486
1925,,Ready to Move,40,Resale,,30303
1926,960,Ready to Move,9,Resale,,4583
1927,120,Ready to Move,16,Resale,,16667
1928,1100,Ready to Move,12,Resale,,31923
1929,416,Ready to Move,7,Resale,,18000
1930,650,Ready to Move,12,Resale,,5000
1931,540,Ready to Move,3,Resale,,30769
1932,1000,Ready to Move,8,Resale,,
1933,475,Ready to Move,17,Resale,,7019
1934,650,Ready to Move,7,Resale,,5294
1935,481,Ready to Move,7,Resale,,11480
1936,,Ready to Move,22,Resale,,31818
1937,955,Ready to Move,7,Resale,,14440
1938,1250,Ready to Move,16,Resale,,19782
1939,1175,Ready to Move,10,Resale,,
1940,560,Ready to Move,4,Resale,,20000
1941,464,Ready to Move,9,Resale,,21186
1942,,Ready to Move,17,Resale,,37313
1943,750,Ready to Move,7,Resale,,5253
1944,380,Ready to Move,23,Resale,,17609
1945,905,Ready to Move,30,Resale,,18519
1946,459,Ready to Move,7,Resale,,16429
1947,680,Ready to Move,7,Resale,,15200
1948,405,Under Construction,9,Resale,,25000
1949,830,Ready to Move,7,Resale,,
1950,555,Ready to Move,4,Resale,,21498
1951,720,Ready to Move,18,Resale,,18031
1952,500,Ready to Move,16,Resale,,3803
1953,1620,Ready to Move,21,New Property,,22727
1954,850,Ready to Move,21,Resale,,18721
1955,290,Ready to Move,7,Resale,,7750
1956,,Ready to Move,7,Resale,,5176
1957,715,Ready to Move,17,Resale,,25765
1958,1068,Ready to Move,15,Resale,,24209
1959,1700,Ready to Move,9,Resale,,52083
1960,400,Ready to Move,3,New Property,,43333
1961,,Ready to Move,8,Resale,,24444
1962,,Ready to Move,22,Resale,,14621
1963,585,Ready to Move,12,Resale,,24638
1964,650,Ready to Move,6,Resale,,20557
1965,575,Ready to Move,7,Resale,,16779
1966,1490,Ready to Move,37,Resale,,21811
1967,862,Ready to Move,36,Resale,,36023
1968,,Ready to Move,14,Resale,,17526
1969,671,Ready to Move,22,Resale,,20455
1970,300,Ready to Move,7,Resale,,17765
1971,,Ready to Move,27,Resale,,35667
1972,,Ready to Move,25,Resale,,29545
1973,1299,Ready to Move,7,Resale,,18438
1974,630,Ready to Move,7,Resale,,17317
1975,315,Ready to Move,5,Resale,,53968
1976,425,Ready to Move,7,Resale,,8455
1977,600,Ready to Move,21,Resale,,26389
1978,999,Ready to Move,36,Resale,,26860
1979,,Ready to Move,16,Resale,,29049
1980,1074,Ready to Move,16,Resale,,
1981,1300,Ready to Move,6,New Property,,19500
1982,810,Ready to Move,7,Resale,,25481
1983,450,Ready to Move,7,Resale,,14876
1984,,Ready to Move,17,Resale,,29412
1985,400,Ready to Move,3,Resale,,7652
1986,566,Ready to Move,7,Resale,,5697
1987,740,Ready to Move,11,Resale,,18487
1988,700,Ready to Move,18,Resale,,15000
1989,350,Ready to Move,5,Resale,,4714
1990,,Ready to Move,13,Resale,,27348
1991,1118,Ready to Move,6,Resale,,
1992,2022,Ready to Move,21,Resale,,29135
1993,1518,Ready to Move,32,Resale,,
1994,645,Ready to Move,12,Resale,,8316
1995,904,Ready to Move,7,Resale,,37391
1996,860,Ready to Move,10,Resale,,48837
1997,700,Ready to Move,17,Resale,,40000
1998,,Ready to Move,6,Resale,,21905
1999,1084,Ready to Move,36,Resale,,30868
2000,725,Ready to Move,7,Resale,,31429
2001,470,Ready to Move,7,Resale,,14384
2002,631,Ready to Move,30,Resale,,27647
2003,2000,Ready to Move,24,Resale,,43269
2004,1033,Ready to Move,17,Resale,,14347
2005,,Ready to Move,9,Resale,,5161
2006,616,Ready to Move,7,Resale,,21600
2007,373,Ready to Move,23,New Property,,13077
2008,477,Ready to Move,20,New Property,,47170
2009,1380,Ready to Move,18,Resale,,43887
2010,900,Ready to Move,6,Resale,,20455
2011,985,Ready to Move,18,Resale,,21667
2012,600,Ready to Move,8,Resale,,8824
2013,900,Ready to Move,7,Resale,,19167
2014,61,Ready to Move,6,New Property,,22581
2015,,Ready to Move,8,Resale,,28019
2016,900,Ready to Move,11,Resale,,19643
2017,465,Ready to Move,7,Resale,,15179
2018,450,Ready to Move,3,Resale,,24038
2019,463,Ready to Move,8,Resale,,22500
2020,584,Ready to Move,16,Resale,,
2021,1894,Under Construction,65,Resale,,39727
2022,363,Ready to Move,7,Resale,,5203
2023,1313,Ready to Move,32,Resale,,31667
2024,,Ready to Move,7,Resale,,24573
2025,472,Ready to Move,11,Resale,,16024
2026,421,Ready to Move,6,Resale,,12923
2027,600,Ready to Move,6,Resale,,14375
2028,,Ready to Move,23,Resale,,46557
2029,463,Ready to Move,22,Resale,,7493
2030,1250,Ready to Move,21,Resale,,30938
2031,1009,Ready to Move,14,Resale,,20588
2032,720,Ready to Move,14,Resale,,14976
2033,1050,Ready to Move,6,Resale,,35357
2034,1000,Ready to Move,7,Resale,,30769
2035,532,Ready to Move,5,Resale,,
2036,550,Ready to Move,13,Resale,,28125
2037,500,Ready to Move,3,Resale,,20000
2038,,Ready to Move,30,Resale,,20317
2039,1000,Ready to Move,16,Resale,,
2040,396,Ready to Move,23,Resale,,12429
2041,1240,Ready to Move,6,Resale,,24333
2042,673,Ready to Move,14,Resale,,12081
2043,805,Ready to Move,7,Resale,,16087
2044,320,Ready to Move,4,Resale,,17895
2045,784,Ready to Move,22,Resale,,26148
2046,700,Ready to Move,22,Resale,,15500
2047,385,Ready to Move,3,Resale,,
2048,,Ready to Move,32,Resale,,36667
2049,850,Ready to Move,35,Resale,,32193
2050,,Ready to Move,13,Resale,,10870
2051,905,Ready to Move,4,Resale,,17391
2052,300,Ready to Move,7,Resale,,27143
2053,282,Ready to Move,4,Resale,,37333
2054,525,Ready to Move,7,Resale,,39231
2055,640,Ready to Move,15,Resale,,24444
2056,1084,Ready to Move,16,Resale,,20961
2057,750,Ready to Move,7,Resale,,27778
2058,572,Ready to Move,15,Resale,,5600
2059,387,Ready to Move,21,Resale,,16364
2060,350,Ready to Move,7,New Property,,18049
2061,1120,Ready to Move,6,Resale,,
2062,1000,Ready to Move,6,Resale,,22917
2063,,Ready to Move,3,Resale,,3281
2064,690,Ready to Move,16,Resale,,24138
2065,424,Ready to Move,7,Resale,,11538
2066,279,Ready to Move,7,Resale,,18286
2067,,Ready to Move,14,Resale,,8415
2068,200,Ready to Move,5,Resale,,4000
2069,450,Ready to Move,7,Resale,,4825
2070,180,Ready to Move,4,Resale,,17500
2071,720,Ready to Move,6,Resale,,31944
2072,420,Ready to Move,19,Resale,,16333
2073,1000,Ready to Move,11,Resale,,29167
2074,875,Ready to Move,7,Resale,,20408
2075,660,Ready to Move,7,Resale,,22353
2076,,Ready to Move,2,Resale,,7375
2077,484,Ready to Move,17,Resale,,17143
2078,1100,Ready to Move,8,Resale,,42308
2079,,Ready to Move,7,Resale,,5333
2080,650,Ready to Move,21,Resale,,18367
2081,1451,Ready to Move,64,New Property,,34375
2082,530,Ready to Move,7,Resale,,14308
2083,1020,Ready to Move,31,Resale,,12850
2084,550,Ready to Move,22,Resale,,7733
2085,776,Ready to Move,15,Resale,,15455
2086,576,Ready to Move,21,Resale,,16169
2087,,Ready to Move,5,Resale,,3692
2088,280,Ready to Move,7,Resale,,25625
2089,950,Ready to Move,10,Resale,,14963
2090,950,Ready to Move,6,Resale,,20455
2091,700,Ready to Move,12,Resale,,14757
2092,720,Ready to Move,7,Resale,,19632
2093,,Ready to Move,22,Resale,,20412
2094,292,Ready to Move,6,Resale,,37143
2095,375,Ready to Move,23,Resale,,13984
2096,601,Ready to Move,7,Resale,,52083
2097,714,Ready to Move,19,Resale,,
2098,,Ready to Move,8,Resale,,38462
2099,,Ready to Move,3,Resale,,20916
2100,450,Ready to Move,8,Resale,,16500
2101,942,Ready to Move,43,Resale,,19463
2102,1041,Ready to Move,7,Resale,,24910
2103,985,Ready to Move,24,Resale,,
2104,486,Ready to Move,7,Resale,,25455
2105,765,Ready to Move,8,Resale,,7368
2106,500,Ready to Move,4,Resale,,4000
2107,650,Ready to Move,6,Resale,,30000
2108,447,Ready to Move,7,Resale,,17787
2109,849,Ready to Move,50,New Property,,22083
2110,680,Ready to Move,16,Resale,,29412
2111,780,Ready to Move,12,Resale,,5500
2112,649,Ready to Move,22,Resale,,18571
2113,480,Ready to Move,13,Resale,,
2114,2000,Ready to Move,28,Resale,,11667
2115,386,Ready to Move,7,Resale,,5466
2116,886,Ready to Move,7,Resale,,8261
2117,1188,Ready to Move,8,Resale,,24561
2118,730,Ready to Move,9,Resale,,18095
2119,800,Ready to Move,8,Resale,,25909
2120,470,Ready to Move,4,Resale,,16667
2121,430,Ready to Move,14,Resale,,23256
2122,560,Ready to Move,6,Resale,,
2123,1102,Under Construction,22,Resale,,53993
2124,386,Ready to Move,2,Resale,,30488
2125,220,Ready to Move,7,Resale,,24000
2126,509,Ready to Move,22,Resale,,
2127,,Ready to Move,6,Resale,,48636
2128,600,Ready to Move,3,Resale,,
2129,1150,Ready to Move,6,Resale,,40995
2130,650,Ready to Move,17,Resale,,14674
2131,360,Ready to Move,16,Resale,,27981
